ccode,country name,1500,1501,1502,1503,1504,1505,1506,1507,1508,1509,1510,1511,1512,1513,1514,1515,1516,1517,1518,1519,1520,1521,1522,1523,1524,1525,1526,1527,1528,1529,1530,1531,1532,1533,1534,1535,1536,1537,1538,1539,1540,1541,1542,1543,1544,1545,1546,1547,1548,1549,1550,1551,1552,1553,1554,1555,1556,1557,1558,1559,1560,1561,1562,1563,1564,1565,1566,1567,1568,1569,1570,1571,1572,1573,1574,1575,1576,1577,1578,1579,1580,1581,1582,1583,1584,1585,1586,1587,1588,1589,1590,1591,1592,1593,1594,1595,1596,1597,1598,1599,1600,1601,1602,1603,1604,1605,1606,1607,1608,1609,1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620,1621,1622,1623,1624,1625,1626,1627,1628,1629,1630,1631,1632,1633,1634,1635,1636,1637,1638,1639,1640,1641,1642,1643,1644,1645,1646,1647,1648,1649,1650,1651,1652,1653,1654,1655,1656,1657,1658,1659,1660,1661,1662,1663,1664,1665,1666,1667,1668,1669,1670,1671,1672,1673,1674,1675,1676,1677,1678,1679,1680,1681,1682,1683,1684,1685,1686,1687,1688,1689,1690,1691,1692,1693,1694,1695,1696,1697,1698,1699,1700,1701,1702,1703,1704,1705,1706,1707,1708,1709,1710,1711,1712,1713,1714,1715,1716,1717,1718,1719,1720,1721,1722,1723,1724,1725,1726,1727,1728,1729,1730,1731,1732,1733,1734,1735,1736,1737,1738,1739,1740,1741,1742,1743,1744,1745,1746,1747,1748,1749,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
100,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.40712,418.95186,503.32628,468.34683,430.97543,387.97814,263.47393,107.62527,209.88188,,353.48245,332.53857,267.546908,297.220881,287.536855,279.179095,443.63676,452.494174,384.430754,,472.471571,,407.936775,428.22421,467.826362,,466.319929,421.888136,443.09508,418.37929,451.7326,427.618849,420.66963,447.49006,490.605226,463.841795,459.691611,445.11044,420.72108,435.520718,464.70271,480.95704,522.039782,529.31364,567.792266,570.16915,552.61987,601.124227,578.180555,549.62902,510.8138,487.52926,505.336174,383.628205,371.621437,551.24983,683.61615,709.297544,654.08474,593.06269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.261277,53.742992,55.064371,68.160482,,141.856446,88.01968,142.233391,150.16343,172.364044,189.614907,140.878995,152.19887,188.38027,186.81081,181.65429,166.815651,170.59808,158.94263,190.907275,301.10615,180.988054,298.75802,290.18665,265.376847,331.05848,922.27173,897.68463,775.12981,,,,,,,,,,,,,767.03623,739.865671,603.92038,662.75894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.981108,142.386551,165.814351,200.12263,178.688266,130.632621,,189.306113,175.91173,170.15978,175.64242,171.214274,119.57663,146.23382,114.252196,102.598152,65.880979,78.99534,61.25908,50.708316,36.51015,40.14936,,99.96649,81.366359,,113.4609,139.151499,135.730858,122.25756,132.69154,145.121855,182.142304,178.993069,147.221806,134.07986,,,173.78757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535.229431,,,466.77869,592.083636,645.36459,384.85404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.855072,140.48747,265.54622,345.34535,,559.56679,333.55028,690.545337,791.952738,763.52737,193.53832,610.97461,760.106916,952.54011,1753.74376,2206.246901,1860.8838,,,,,126.680056,,,734.699654,836.175236,1015.632224,1232.155364,1272.47149,1310.56129,1431.024614,1538.48672,1259.05538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804,756,639,528,503,484,414.84919,494.66357,447.33179,375.87007,380.51044,358.23666,410.20882,433.41067,366.58933,395.35963,426.83983,518.61472,452.81385,402.5974,575.75758,441.30249,425.78456,394.64883,383.34707,403.09446,476.2671,504.38247,484.58498,451.1811,488.60958,587.45098,662.22571,564.64174,596.139,574.27259,597.71863,619.62264,552.80899,664.4395,848.1945,682.7133,624.54874,638.64943,683.87553,653.84615,690.44321,721.15385,957.1429,701.48248,777.8519,865.5241,908.8542,873.067,859.146,903.7736,931.76179,850.0612,820.93164,772.99881,916.8632,956.90157,840.13801,968.7677,823.29769,933.29628,958.65491,948.71795,919.0065,898.45003,909.428,823.43668,964.02503,919.37984,933.4698,961.48,943.33,966.81526,933.9207,973.83721,959.6348,1011.4231,1075,1069.7239,1148.6111,1156.9076,1076.8188,1103.2633,1317.6783,1169.5958,1201.8309,1172.6525,1173.6141,1208.1911,1258.1327,1260.7426,1210.0494,1201.8684,1171.8062,1215.8103,1254.5881,1070.5474,1197.4838,1324.5383,1400.5968,1411.0701,1484.1299,1390.991,1417.2303,1503.3392,1513.5323,1511.4844,1500.5083,1463.292,1431.0802,1450.7365,1478.0078,1415.655,1635.703,1505.3092,1276.0642,1152.207,1194.7622,1311.3826,1263.49956,1068.61314,960.31286,918.27338,926.7944,902.21717,912.47883,883.44074,957.81293,951.00468,957.71959,966.71177,954.86298,904.77461,875.29786,885.15112,886.22129,984.20916,1141.17346,1137.24994,1157.57879,1294.6848,1235.30846,886.15533,1169.21241,1013.947991,1445.328963,831.625469,832.718043,847.508056,843.622333,903.356612,917.0551,901.326275,880.151455,921.780411,1020.73783,1039.954514,1132.368059,1125.848416,1199.1091,1283.49551,1333.61126,1422.66678,1440.223533,1567.06001,1719.70337,1646.139953,1766.56925,1664.124117,1705.94516,1751.43151,1830.423712,1956.40335,2053.97584,2093.105066,2040.20006,2022.425927,2081.94521,2169.99521,2316.878468,2365.02362,2155.82984,2163.63333,2694.406256,2669.995458,2604.574949,2668.036642,2833.27916,2783.71733,2910.901965,2994.8714,3151.98852,3040.315,3230.389,3109.3202,2898.2189,2850.5407,2740.6217,2809.7168,2795.6594,2776.338,2793.2392,2760.3637,2556.5557,2405.3808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.741467,29.916024,43.47001,,80.608592,73.454687,82.8763,85.29941,98.390934,116.919173,120.677299,89.933082,110.85358,99.04351,57.41578,52.415315,56.78537,63.79932,70.559351,59.039141,54.339839,48.73494,47.76402,39.377809,37.95393,41.97853,,,,,53.36247,26.302697,27.291409,27.44535,24.16962,26.862873,,35.918919,44.710829,,51.22668,,34.98025,29.62564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.78712,379.18541,243.43721,285.87814,384.1638,486.35327,717.40857,847.82655,1014.67688,945.777307,859.795,809.8843,774.916073,786.569566,871.664208,818.627634,879.77221,952.947879,960.908974,956.224142,1220.00881,1297.707492,1460.300649,1531.957494,1539.562997,1506.43574,1482.87502,1233.64543,1414.940839,1268.15952,1322.63973,1712.682027,1454.138462,1393.500024,1681.09058,1485.77828,1550.404797,1504.98772,1536.69237,1366.621294,1430.31016,1410.282338,1459.39976,1437.27582,1269.225124,1284.598342,1393.48366,1440.25441,1347.831712,1317.69415,1037.390669,1060.564382,1018.50247,1317.53101,1561.1212,1821.6271,1840.55912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.3662,,,,,,,,,,,,,,,,510.0029,,,,,,,368.72587,425.32823,379.54422,307.73391,328.20097,350.32362,383.7678,406.4257,557.47738,591.96006,528.8935,554.9591,473.378753,471.700466,451.412052,427.331622,515.533652,488.667033,506.0332,,523.589269,557.823753,554.759142,562.80477,576.551826,589.120245,592.486607,778.271025,1106.98875,1125.33233,1190.90423,1261.221031,1270.82033,1214.63897,1304.821813,1405.922895,770.239522,905.00651,967.43267,971.080466,776.34017,708.46505,1014.546592,1362.26641,1713.971188,1540.52273,1769.84699,1754.070435,1821.786073,1768.01252,1846.41127,2099.609977,2034.68414,2036.125638,2235.436455,2188.63611,2326.82297,2465.373874,2643.47006,2559.22005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,France,35.17647,20.939264,18.781703,23.024648,20.4436026,28.929575,24.0103531,27.3795791,32.225347,36.213214,46.3267711,45.007457,55.510811,46.38328,41.2773493,45.649121,51.0617752,50.165424,45.2873902,54.870863,60.876607,45.136528,32.1449,34.194177,28.7411637,38.2789519,35.742721,35.2878373,59.922637,50.742997,56.89311,55.5899411,52.8446289,51.3425208,53.345103,58.223483,65.9680631,58.9152263,66.6416847,74.3508923,85.7256005,78.8861518,89.0055132,91.9652836,78.012303,84.0294132,76.2130777,78.3614548,80.7077445,93.7842874,101.7733406,96.0011881,88.222912,80.8651278,93.0627396,99.5992367,93.0569374,69.6649279,73.798832,68.5085428,90.242708,79.749033,64.087675,42.8770499,52.7897085,53.32798,65.5920548,57.974512,36.887918,39.6203358,36.805952,33.8001146,42.252537,52.0666811,51.023787,50.179931,45.406582,51.442856,57.269526,53.875384,55.576729,58.8380255,51.938593,47.784999,46.368112,60.912124,59.678065,54.951525,70.4071706,49.985832,36.189766,28.8036414,33.405977,33.754609,36.99246,38.875887,29.797346,33.6047674,43.1581,39.8529145,50.5263158,50.6434039,49.42425,49.3518454,56.7000192,57.3769151,64.5018955,57.9666625,63.5564244,72.7183837,84.3051917,67.9856585,72.2112129,61.026728,88.1247488,94.9229666,67.6760843,71.4971509,77.9165209,98.648946,86.7954122,67.9241612,81.5378366,78.2726764,69.289016,72.5085108,73.5076672,64.0180288,67.9654328,61.446122,70.1474285,72.9708132,58.0719915,64.7338239,73.1968297,72.3623395,71.3485887,81.5771746,79.1044457,69.0472088,77.2484621,76.9550735,77.2022547,93.6210967,100.6612157,82.4176925,78.0031997,95.0387838,89.1913118,192.7272466,93.0209679,104.606283,99.842208,77.029725,82.22149,84.92602,83.56749,85.557601,96.858388,86.886869,112.52455,86.63248,92.62213,97.19801,119.35925,112.5727,101.11489,97.323626,96.834595,99.460327,93.26938,90.890663,98.33499,82.026401,91.178639,101.161185,87.316311,101.54884,88.597034,116.763123,91.57158,91.60739,94.527953,91.508646,90.359316,99.013088,84.35839,86.59339,97.569237,85.667955,88.5616,80.560086,86.46268,95.3537,90.378277,84.584696,91.776283,93.468031,84.2135,82.269282,94.3801653,67.457939,65.8316712,75.543631,68.00694247,67.6971875,62.0039009,64.31283354,68.398689,60.307837,55.810388,57.9502782,64.107565,58.022781,69.124777,72.176887,73.7783115,70.9107174,68.3731291,63.30748,72.1958288,71.5666351,75.1962022,70.7872716,70.3211243,68.760249,60.641478,57.8598225,61.470312,65.841438,73.9123418,65.094727,77.606274,73.8984308,63.90759,67.295924,71.74014,71.738512,72.650401,78.877317,82.650675,72.031422,71.423529,72.475359,66.906828,67.063017,61.5293767,61.695839,72.146675,91.1793652,86.9758813,93.829213,93.263881,101.2354083,94.3414543,90.851225,101.822136,95.71065,102.97702,111.06847,98.923909,89.436569,105.236985,102.646554,105.914724,101.9141,94.534111,107.122206,100.19072,95.827435,119.369308,119.444674,114.921746,108.340407,120.354749,131.332304,127.51158,125.63404,122.944799,103.888165,102.091662,96.775658,108.406847,107.419928,142.769279,148.395969,138.068392,130.6005,147.64976,271.238079,274.424601,232.754048,190.006288,142.520476,119.362001,122.537992,87.99929,104.206339,108.946494,109.79255,106.778028,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.27664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.9625,,,,,,,,,,,,,,,,,,,,,,,,,602.7582,,,,,,,,,,,,,,,,,,,,,,,,193.61296,,131.70732,98.18182,152.48731,203.02564,223.13625,175.99496,220.69993,329.86726,344.02822,238.862102,235.02987,240.259437,241.061504,230.302334,242.389667,266.701343,,229.53579,256.82306,260.833749,254.85145,269.58496,276.19622,235.209738,273.091963,344.12273,383.83014,375.53801,365.364267,426.61745,441.7543,426.685993,463.133815,509.740686,488.86199,523.4918,542.310604,582.45982,388.72202,456.251368,586.42715,673.441759,757.41961,671.85181,661.184795,670.207116,580.59057,763.39294,681.617326,693.779077,717.232843,746.5222,770.9781,696.88519,762.233998,582.22803,818.97601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.09979,314.37048,388.84655,406.44615,322.68355,350.34249,448.80303,464.28244,433.73357,357.15588,387.3898,295.84035,312.9825,282.92702,315.61955,400.1109,463.11589,394.56451,171.96721,151.33051,161.22947,167.8375,210.20582,273.13197,362.71886,379.39602,392.535901,362.584808,341.753421,412.752926,474.485752,498.0202,456.33487,490.751045,512.417809,538.186692,606.76656,622.400776,547.369041,580.541501,598.842888,505.04383,490.47133,473.62581,457.566661,495.0181,470.97758,524.2925,468.821001,427.28224,480.9636,401.00816,468.759254,497.63633,474.04902,466.464193,416.79078,383.98249,478.70967,473.40392,484.721771,487.390903,478.44662,499.62118,435.506014,365.128065,305.738428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Germany,45.2381,14.275103,13.680227,11.095821,13.6326058,13.32534,12.4530549,14.691609,13.537861,14.922015,15.7391916,10.100426,15.684404,14.818309,18.1417394,15.323961,19.4692487,15.270619,30.2108703,34.031778,49.992045,49.077804,47.065646,64.293425,67.7470594,57.7721785,35.805552,35.1974811,29.4163255,45.950915,61.3421075,54.1904855,50.0388785,58.8620151,49.3256156,51.392244,51.3027184,50.1408174,54.603787,48.3630814,50.6794371,53.5201143,40.1366124,44.5775137,50.327222,50.7683881,62.0301457,22.1338528,51.2926499,56.9800796,64.4824036,52.5950607,38.92046,39.6349283,37.4834687,42.3552919,44.8754659,42.984685,44.202269,44.6413531,55.640086,46.800255,60.580329,62.5247903,65.741307,58.221428,60.4142158,56.237481,55.123415,52.2379825,55.690953,64.943828,64.326176,55.1485961,56.560815,62.986816,58.117471,65.018189,62.907851,51.833488,80.599975,85.1778766,73.130324,80.674424,80.039815,74.228444,76.314726,69.792344,79.7288684,69.549397,77.740073,90.2947171,89.650193,87.062118,98.07772,108.085304,127.734586,103.1205569,103.4230783,116.9605037,126.6066066,110.22703,112.5843253,117.8192477,106.2595925,106.4576945,91.0767133,110.9262703,113.7566243,126.6392777,141.665509,118.8853867,142.9891014,128.1138873,117.3120376,119.4155153,103.6120219,121.2310309,114.7426376,114.2207303,117.2746616,95.5461352,92.1742015,82.8528266,83.5343059,74.4614958,72.5298743,55.8617599,66.532593,77.9076185,63.8686934,62.1822897,41.7549293,41.0271033,44.8039416,36.7295648,31.7408498,31.7284032,36.4496872,28.1546228,38.0766116,41.6077999,37.1014945,49.6067428,52.18472,47.4435096,51.671912,50.0006839,50.4525968,51.1398148,60.7783338,54.867437,62.849189,61.883352,61.62388,63.48062,74.03169,66.954784,75.852332,75.822588,82.12848,86.31837,89.09815,98.20391,95.1197,90.63273,87.78797,80.499255,104.327294,99.609864,112.19246,99.298117,113.739342,106.924418,125.085184,125.036134,124.987104,125.40428,113.705002,122.743932,112.45175,116.59676,110.967754,120.691154,130.174457,120.364156,114.9747,110.05381,122.311426,104.631541,115.7221,97.131353,100.105705,112.34312,102.805745,134.011678,121.002805,109.160474,153.50452,133.108329,151.5361515,118.012021,122.562929,108.594735,113.59737297,114.4841247,112.2071577,126.32697036,126.026901,118.8288455,124.541303,116.9632494,125.049595,122.780487,113.553541,118.075101,108.0751624,127.6459539,108.0387035,113.1413,125.0026121,123.2143284,116.3787731,115.4765642,123.5705878,115.562541,108.862893,119.3561694,118.038965,114.068351,126.2400288,109.266034,117.510183,113.8005303,119.346386,122.44731,114.97756,121.632625,117.183002,113.554011,133.430614,119.628856,94.103501,105.113721,118.917414,114.592087,113.5447033,115.734722,120.932688,125.1432403,139.2642643,137.194923,144.781033,133.1398759,119.4625282,123.386226,127.618615,110.665227,104.07327,95.97591,100.451329,81.487647,88.252225,91.485634,103.923764,94.76899,95.196548,99.147833,100.545484,103.088163,104.940105,106.11376,111.675193,103.557416,115.351403,128.288288,121.330238,120.784992,136.614602,120.652179,124.165616,122.378948,137.073549,136.152454,143.304399,140.694851,149.247444,142.14513,141.37031,153.332238,166.195607,155.347937,160.927174,159.348929,153.752601,146.351602,143.448292,150.788483,155.0893,145.868168,153.642014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.54285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455.8358,,,,,,,,,,,,,,,,,,,,,,,,,,,591.75609,,,,,,,,,,373.8851,371.05808,294.11425,296.49889,268.16525,,,75.91784,,,130.29927,,,,235.728372,,288.252077,309.869531,313.680576,,,373.754163,307.760231,375.35422,387.975638,380.001838,403.06558,410.890578,414.70752,367.81797,456.15694,467.340601,500.66183,650.56495,579.697131,,,678.51869,589.91648,642.013661,698.30425,725.41114,838.638787,827.11026,797.774746,823.76691,827.73464,706.57892,780.846658,903.44681,928.80315,962.917458,915.48196,768.64068,848.79217,834.72539,828.35102,867.699139,908.39727,873.29854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
